Municipality of residence,People,Average age
04044 Fines,2225,39.03
03069 Finestrat,6100,40.5
04045 Fiñana,2365,43.85
35008 Firgas,7605,40.6
22109 Fiscal,320,42.44
15037 Fisterra,4945,45
31105 Fitero,2165,44.4
17067 Flaçà,1050,43.82
43060 Flix,3805,46.45
05073 Flores de Ávila,345,54.75
"25092 Floresta, La",170,49.14
37129 Florida de Liébana,290,47.67
08082 Fogars de la Selva,1515,39.16
08081 Fogars de Montclús,440,42.68
46126 Foios,7020,40.38
17068 Foixà,310,50.37
24071 Folgoso de la Ribera,1230,49.09
27017 Folgoso do Courel,1170,56.42
08083 Folgueroles,2235,37.95
47062 Fombellida,200,58.45
47063 Fompedraza,120,51.69
26062 Foncea,100,50.5
25093 Fondarella,820,41.28
"03077 Fondó de les Neus, el/Hondón de las Nieves",2730,49.9
04046 Fondón,990,44.7
18076 Fonelas,1100,38.82
49071 Fonfría,940,54.91
08084 Fonollosa,1430,39.67
"27018 Fonsagrada, A",4180,54.97
"46128 Font de la Figuera, la",2170,43.69
"46127 Font d'En Carròs, la",4005,42.87
17069 Fontanals de Cerdanya,470,46.89
19117 Fontanar,2310,35.33
13041 Fontanarejo,310,54.47
46124 Fontanars dels Alforins,1010,42.89
17070 Fontanilles,160,48
17071 Fontcoberta,1335,39.64
31106 Fontellas,945,41.4
05074 Fontiveros,805,51.37
08085 Font-rubí,1435,44.67
22110 Fonz,980,51.66
26063 Fonzaleche,155,56.63
25094 Foradada,185,51.84
22111 Foradada del Toscar,210,52.85
17902 Forallac,1720,42.41
12061 Forcall,480,47.01
36018 Forcarei,3915,52.83
37130 Forfoleda,190,54.72
07024 Formentera,10540,39.99
03070 Formentera del Segura,3985,41.47
44103 Formiche Alto,170,47.26
07025 Fornalutx,695,44.42
17073 Fornells de la Selva,2440,37.07
36019 Fornelos de Montes,1900,48.44
44105 Fórnoles,100,55.6
46125 Fortaleny,1030,43.03
44106 Fortanete,220,45.73
17074 Fortià,660,43.71
30020 Fortuna,9930,39
48906 Forua,980,45.03
27019 Foz,9910,46.06
44107 Foz-Calanda,285,46.98
15038 Frades,2580,49.94
37131 Frades de la Sierra,220,55.46
22112 Fraga,14465,40.63
"50109 Frago, El",105,54.67
23033 Frailes,1705,47.41
"33023 Franco, El",3915,47.71
09128 Frandovínez,105,44.45
"08086 Franqueses del Vallès, Les",18785,36.88
"50110 Frasno, El",460,54.9
34072 Frechilla,190,57.53
06050 Fregenal de la Sierra,5120,43.54
"37132 Fregeneda, La",420,56.81
43062 Freginals,455,49.17
18078 Freila,1045,47.8
50111 Fréscano,210,52.41
40078 Fresneda de Cuéllar,195,51.29
09129 Fresneda de la Sierra Tirón,135,56.18
"44108 Fresneda, La",480,48.78
05075 Fresnedilla,95,61.47
28056 Fresnedillas de la Oliva,1585,36.94
37133 Fresnedoso,115,54.92
10075 Fresnedoso de Ibor,315,54.99
09130 Fresneña,95,61.55
09131 Fresnillo de las Dueñas,545,40.39
37134 Fresno Alhándiga,275,52.3
40079 Fresno de Cantespino,255,52.66
40080 Fresno de la Fuente,100,45.12
49075 Fresno de la Polvorosa,165,60.1
49076 Fresno de la Ribera,395,46.99
24073 Fresno de la Vega,615,54.11
09132 Fresno de Río Tirón,190,53.09
49077 Fresno de Sayago,225,54.01
28057 Fresno de Torote,2050,36.27
34073 Fresno del Río,200,54.92
47065 Fresno el Viejo,995,50.73
"05076 Fresno, El",570,42.97
09134 Frías,275,48.9
44109 Frías de Albarracín,155,47.6
49078 Friera de Valverde,220,56.1
29053 Frigiliana,3150,43.98
27020 Friol,4130,53.9
34074 Frómista,775,49.15
38013 Frontera,3945,42.68
"16085 Frontera, La",190,51.5
48035 Fruiz,515,42.7
40081 Frumales,155,59.39
13042 Fuencaliente,1105,46.01
38014 Fuencaliente de la Palma,1810,44.81
19119 Fuencemillán,125,49.41
50113 Fuendejalón,945,45.32
50114 Fuendetodos,180,51.7
29054 Fuengirola,71980,42.74
28058 Fuenlabrada,196870,36.59
06051 Fuenlabrada de los Montes,1950,46.57
13043 Fuenllana,275,55.22
26064 Fuenmayor,3080,40.81
47066 Fuensaldaña,1430,41.29
45066 Fuensalida,11125,36.72
02032 Fuensanta,370,51.39
23034 Fuensanta de Martos,3225,43.32
30021 Fuente Álamo de Murcia,16110,37.24
06052 Fuente de Cantos,4910,41.6
16086 Fuente de Pedro Naharro,1320,43.73
29055 Fuente de Piedra,2640,40.63
"37135 Fuente de San Esteban, La",1400,48.85
40082 Fuente de Santa Cruz,135,58.07
06053 Fuente del Arco,740,46.19
06054 Fuente del Maestre,6880,40.71
13044 Fuente el Fresno,3585,42.9
40083 Fuente el Olmo de Fuentidueña,165,62.7
05077 Fuente el Saúz,195,52.67
28059 Fuente el Saz de Jarama,6250,37.23
47067 Fuente el Sol,205,53.45
49079 Fuente Encalada,120,59.05
14028 Fuente la Lancha,370,46.45
14029 Fuente Obejuna,5095,45.55
14030 Fuente Palmera,10980,38.93
18079 Fuente Vaqueros,4435,39.76
02033 Fuente-Álamo,2655,42.4
02034 Fuentealbilla,1980,41.71
42085 Fuentearmegil,220,62.86
09136 Fuentecén,240,54.31
37136 Fuenteguinaldo,735,54.56
21033 Fuenteheridos,575,44.21
19120 Fuentelahiguera de Albatages,125,59.24
49080 Fuentelapeña,815,51.51
09137 Fuentelcésped,235,46.77
19121 Fuentelencina,310,50.64
16087 Fuentelespino de Haro,265,56.23
16088 Fuentelespino de Moya,140,51.73
37137 Fuenteliante,115,61.78
09138 Fuentelisendo,100,62.45
42088 Fuentelmonge,80,60.81
19122 Fuentelsaz,110,53.38
09139 Fuentemolinos,105,57.58
16904 Fuentenava de Jábaga,595,45.72
09140 Fuentenebro,150,51.1
19124 Fuentenovilla,625,41.5
40086 Fuentepelayo,955,46.8
42090 Fuentepinilla,105,64.35
40087 Fuentepiñel,115,59.53
40088 Fuenterrebollo,370,51.55
37138 Fuenterroble de Salvatierra,255,43.8
46129 Fuenterrobles,715,46.37
16089 Fuentes,485,44.96
44111 Fuentes Calientes,115,50.72
44112 Fuentes Claras,570,53.42
41042 Fuentes de Andalucía,7280,41.65
05078 Fuentes de Año,135,55.86
12064 Fuentes de Ayódar,150,40.36
37139 Fuentes de Béjar,250,49.3
24074 Fuentes de Carbajal,110,53.37
50115 Fuentes de Ebro,4600,41.08
50116 Fuentes de Jiloca,275,55.08
06055 Fuentes de León,2480,44.81
34076 Fuentes de Nava,730,49.03
37140 Fuentes de Oñoro,1175,45.71
49082 Fuentes de Ropel,490,51.69
44113 Fuentes de Rubielos,130,40.08
34077 Fuentes de Valdepero,335,44.55
49081 Fuentesaúco,1890,43.92
40089 Fuentesaúco de Fuentidueña,275,56.02
40091 Fuentesoto,145,59.21
44114 Fuentespalda,315,49.52
09141 Fuentespina,665,40.49
49084 Fuentespreadas,340,48.63
14031 Fuente-Tójar,750,46.46
40092 Fuentidueña,110,50.63
28060 Fuentidueña de Tajo,1950,40.78
23035 Fuerte del Rey,1395,43.72
16091 Fuertescusa,80,60.61
"22113 Fueva, La",625,46.66
"25096 Fuliola, La",1310,44.22
25097 Fulleda,100,52.2
31107 Funes,2485,41.4
31108 Fustiñana,2515,44.17
16092 Gabaldón,205,45.23
"18905 Gabias, Las",18230,34.11
20038 Gabiria,485,43.08
04047 Gádor,3190,38.99
08090 Gaià,165,46.75
03072 Gaianes,435,49
12065 Gaibiel,195,55.31
20037 Gaintza,125,46.84
37141 Gajates,175,58.46
28061 Galapagar,32360,36.9
19126 Galápagos,2260,33.04
31109 Galar,1775,39.33
21034 Galaroza,1565,42.72
48036 Galdakao,29120,43.3
48037 Galdames,845,46.39
35009 Gáldar,24320,40.32
49085 Galende,1375,50.31
18082 Galera,1190,49.33
"43063 Galera, La",830,44.67
26066 Galilea,385,44.15
37142 Galindo y Perahuy,740,41.5
37143 Galinduste,470,52.59
37144 Galisancho,430,55.8
10076 Galisteo,1005,42.78
"04048 Gallardos, Los",3400,47.49
40093 Gallegos,95,53.68
37145 Gallegos de Argañán,305,55.12
47069 Gallegos de Hornija,145,50.42
05080 Gallegos de Sobrinos,75,65.55
37146 Gallegos de Solmirón,150,54.88
49086 Gallegos del Pan,135,50.27
49087 Gallegos del Río,600,60.95
08087 Gallifa,200,42.46
31110 Gallipienzo/Galipentzu,115,55.43
50117 Gallocanta,155,50.63
31111 Gallués/Galoze,110,49.04
50118 Gallur,2875,44.55
44115 Galve,170,48.23
19127 Galve de Sorbe,120,53.82
45067 Gálvez,3290,42.71
48038 Gamiz-Fika,1325,44.74
49088 Gamones,100,56.57
43064 Gandesa,3065,42.97
46131 Gandia,77495,39.78
16093 Garaballa,100,53.84
38015 Garachico,4955,44.12
38016 Garafía,1545,50.23
48039 Garai,345,40.51
31112 Garaioa,100,56.44
06056 Garbayuela,560,48.44
43065 Garcia,580,45.15
10077 Garciaz,815,52.88
37147 Garcibuey,200,57.23
37148 Garcihernández,500,48.07
40094 Garcillán,480,42.62
45068 Garciotum,175,50.23
31113 Garde,170,56.85
44116 Gargallo,125,43.67
28062 Garganta de los Montes,390,46.11
10079 Garganta la Olla,1005,47.29
"10078 Garganta, La",480,56.05
10080 Gargantilla,425,53.78
28063 Gargantilla del Lozoya y Pinilla de Buitrago,365,47.04
10081 Gargüera,120,59.8
"43066 Garidells, Els",190,41.65
31114 Garínoain,515,39.77
06057 Garlitos,635,55.64
24076 Garrafe de Torío,1355,47.46
31115 Garralda,190,48.26
42094 Garray,625,42.95
"08088 Garriga, La",15295,39.46
17075 Garrigàs,380,45.16
17076 Garrigoles,160,48.93
17077 Garriguella,850,44.32
"41043 Garrobo, El",775,40.54
"06058 Garrovilla, La",2510,42.12
10082 Garrovillas de Alconétar,2215,48.76
04049 Garrucha,8530,36.77
10083 Garvín,110,52.79
28064 Gascones,190,43.09
16094 Gascueña,200,48.01
"11018 Gastor, El",1850,43.48
10084 Gata,1600,49.03
03071 Gata de Gorgos,6130,42.34
48040 Gatika,1600,40.86
46902 Gátova,435,53.23
29056 Gaucín,1690,44.92
48041 Gautegiz Arteaga,905,44.48
08089 Gavà,46180,39.77
46130 Gavarda,1115,44.16
25098 Gavet de la Conca,310,52.65
05082 Gavilanes,655,50.57
20907 Gaztelu,165,46.18
44117 Gea de Albarracín,410,51.85
12067 Geldo,690,45.25
08091 Gelida,6935,37.86
50119 Gelsa,1185,49.14
41044 Gelves,9450,35.84
49090 Gema,245,53.72
05083 Gemuño,160,54.78
29057 Genalguacil,500,51.28
23037 Génave,630,42.42
31116 Genevilla,75,54.28
46132 Genovés,2835,39.94
17078 Ger,470,42.57
41045 Gerena,7135,38.09
04050 Gérgal,1070,46.77
47071 Geria,500,43.01
45069 Gerindote,2435,39.83
48046 Gernika-Lumo,16645,43.87
46133 Gestalgar,745,52.7
28065 Getafe,167820,40.47
20039 Getaria,2620,42.19
48044 Getxo,79970,43.92
21035 Gibraleón,12475,38.71
33024 Gijón,275450,45.93
05084 Gilbuena,90,66.91
41046 Gilena,3920,40.47
46134 Gilet,3290,38.85
25912 Gimenells i el Pla de la Font,1155,43.62
05086 Gimialcón,95,58.21
26068 Gimileo,125,43.58
"44118 Ginebrosa, La",220,49.82
41047 Gines,13210,36.71
43067 Ginestar,905,45.69
"02035 Gineta, La",2545,39.81
17079 Girona,95665,38.88
08092 Gironella,4965,45.15
22114 Gistaín,145,53.15
48047 Gizaburuaga,205,40.48
18083 Gobernador,325,51.51
43068 Godall,770,45.82
46135 Godella,13035,38.96
46136 Godelleta,3325,40.44
31117 Goizueta,760,46.74
18084 Gójar,5250,37.98
42095 Golmayo,2200,35.82
25099 Golmés,1740,41.05
02036 Golosalvo,120,58.53
37151 Golpejas,155,50.4
42096 Gómara,360,51
17080 Gombrèn,205,45.3
37152 Gomecello,520,48.85
32033 Gomesende,915,56.23
40095 Gomezserracín,715,45.14
36021 Gondomar,14040,40.48
31118 Goñi,190,61.62
18085 Gor,880,51.62
18086 Gorafe,470,50.02
24077 Gordaliza del Pino,285,56.41
48042 Gordexola,1695,44.52
"10085 Gordo, El",385,45.86
24078 Gordoncillo,490,52.76
03073 Gorga,255,48.73
48043 Gorliz,5500,41.14
25100 Gósol,225,49.38
05087 Gotarrendura,100,50.32
50121 Gotor,370,49.57
33025 Gozón,10720,48.4
24079 Gradefes,1055,58.52
33026 Grado,10660,47.47
"22115 Grado, El",465,53.16
16095 Graja de Campalbo,110,54.24
16096 Graja de Iniesta,395,42.37
24080 Grajal de Campos,245,58.12
40097 Grajera,245,35.53
18087 Granada,239960,42.01
"21036 Granada de Río-Tinto, La",240,43.75
"08094 Granada, La",2035,39.84
"25101 Granadella, La",740,48.3
38017 Granadilla de Abona,41180,36.75
"21037 Granado, El",570,49.33
13045 Granátula de Calatrava,860,48.98
33027 Grandas de Salime,980,51.73
"46137 Granja de la Costera, la",410,44.43
49091 Granja de Moreruela,300,52.62
03074 Granja de Rocamora,2470,39.54
06059 Granja de Torrehermosa,2265,47.16
"25102 Granja d'Escarp, La",975,46.33
"10086 Granja, La",355,49.89
"14032 Granjuela, La",510,45.35
08096 Granollers,59355,40.24
49092 Granucillo,165,61.16
25103 Granyanella,150,45.89
25105 Granyena de les Garrigues,175,51.21
25104 Granyena de Segarra,135,53.33
22116 Grañén,1915,47.2
26069 Grañón,295,58.93
43069 Gratallops,265,43.82
22117 Graus,3465,45.91
26070 Grávalos,220,55.52
11019 Grazalema,2195,42.18
44119 Griegos,140,51.68
09148 Grijalba,120,48.47
34079 Grijota,1895,36.49
28066 Griñón,9420,36.64
50123 Grisén,590,41.69
"36022 Grove, O",11260,42.42
18088 Guadahortuna,2040,39.07
19130 Guadalajara,83700,39.89
44120 Guadalaviar,240,48.51
41048 Guadalcanal,2885,43.05
14033 Guadalcázar,1605,37.94
28067 Guadalix de la Sierra,5950,37.13
13046 Guadalmez,900,48.19
10087 Guadalupe,2025,47.63
45070 Guadamur,1825,42.73
28068 Guadarrama,15110,38.29
46138 Guadasséquies,445,39.14
46139 Guadassuar,6040,41.04
18089 Guadix,18580,40.69
37154 Guadramiro,165,56.26
"18906 Guajares, Los",1150,48.83
08097 Gualba,1350,38.83
18093 Gualchos,4530,38.01
17081 Gualta,395,41.7
"38018 Guancha, La",5415,42.28
"36023 Guarda, A",10350,43.28
46140 Guardamar de la Safor,500,38.51
03076 Guardamar del Segura,15445,43.95
"23038 Guardia de Jaén, La",4460,35.03
"45071 Guardia, La",2350,45.12
08099 Guardiola de Berguedà,995,45.51
34080 Guardo,6990,45.22
06060 Guareña,7270,41.55
29058 Guaro,2110,42.64
49093 Guarrate,370,48.65
23039 Guarromán,2915,39.37
44121 Gúdar,80,40.44
"32034 Gudiña, A",1465,51.5
18094 Güejar Sierra,2960,40.75
48045 Güeñes,6360,42.9
31120 Guesálaz/Gesalatz,455,49.53
18095 Güevéjar,2545,36.21
38019 Guía de Isora,19735,39.63
"43070 Guiamets, Els",305,48.31
37155 Guijo de Ávila,100,45.5
10088 Guijo de Coria,245,55.03
10089 Guijo de Galisteo,1600,42.67
10090 Guijo de Granadilla,600,55.7
10091 Guijo de Santa Bárbara,395,49.3
"14034 Guijo, El",400,50.88
37156 Guijuelo,5960,39.31
41049 Guillena,12080,35.92
17082 Guils de Cerdanya,545,41.33
38020 Güímar,18175,41.01
25109 Guimerà,310,54.84
"25903 Guingueta d'Àneu, La",345,44.74
05089 Guisando,565,52.05
25110 Guissona,6630,34.47
27022 Guitiriz,5670,50.66
09151 Gumiel de Izán,620,48.38
09152 Gumiel de Mercado,370,49.51
27023 Guntín,3000,52.98
08100 Gurb,2575,39.19
39030 Guriezo,2405,43.93
22119 Gurrea de Gállego,1615,49.79
24081 Gusendos de los Oteros,140,57.29
05090 Gutierre-Muñoz,75,50.71
"06061 Haba, La",1325,44.96
09154 Hacinas,180,51.66
01056 Harana/Valle de Arana,285,55.08
35010 Haría,5010,43.07
26071 Haro,11700,41.22
39031 Hazas de Cesto,1510,43.59
06062 Helechosa de los Montes,730,49.22
02037 Hellín,30960,39.18
16097 Henarejos,190,56.62
19132 Henche,95,56.39
19133 Heras de Ayuso,230,44.81
26072 Herce,365,47.9
13047 Herencia,8875,38.75
"45072 Herencias, Las",835,46.68
10092 Herguijuela,365,52.34
37157 Herguijuela de Ciudad Rodrigo,95,61.24
37158 Herguijuela de la Sierra,295,52.45
37159 Herguijuela del Campo,105,63.15
39032 Hermandad de Campoo de Suso,1735,50.15
34082 Hérmedes de Cerrato,100,60.26
38021 Hermigua,2055,46.49
49094 Hermisende,300,61.76
20040 Hernani,19220,42.65
10093 Hernán-Pérez,500,46.25
05092 Hernansancho,190,51.19
20041 Hernialde,360,42.35
05093 Herradón de Pinares,575,43.49
26073 Herramélluri,115,57.96
41050 Herrera,6450,39.83
10094 Herrera de Alcántara,290,50.94
50124 Herrera de los Navarros,580,50.12
34083 Herrera de Pisuerga,2230,47.48
34084 Herrera de Valdecañas,160,54.26
06063 Herrera del Duque,3705,44.11
"02038 Herrera, La",350,46.29
39033 Herrerías,650,50.7
05094 Herreros de Suso,170,53.71
10095 Herreruela,365,51.22
45073 Herreruela de Oropesa,410,50.48
47073 Herrín de Campos,150,55.37
"16098 Herrumblar, El",770,47.26
10096 Hervás,4110,43.63
26074 Hervías,140,58.2
19135 Hiendelaencina,150,56
10097 Higuera,110,53.21
23041 Higuera de Calatrava,640,42.03
06064 Higuera de la Serena,1020,46.76
21038 Higuera de la Sierra,1355,42.31
05095 Higuera de las Dueñas,340,52.61
06065 Higuera de Llerena,360,47.34
06066 Higuera de Vargas,2090,46.09
06067 Higuera la Real,2445,44.3
02039 Higueruela,1295,47.11
46141 Higueruelas,510,47.29
44122 Híjar,1790,46.96
"49095 Hiniesta, La",340,50.32
10098 Hinojal,440,51.87
21039 Hinojales,355,46.85
23042 Hinojares,435,49.23
21040 Hinojos,3920,41.27
37160 Hinojosa de Duero,685,51.89
44123 Hinojosa de Jarque,155,50.15
45074 Hinojosa de San Vicente,450,54.01
14035 Hinojosa del Duque,7185,44.47
06068 Hinojosa del Valle,530,45.62
"16099 Hinojosa, La",245,54.03
13048 Hinojosas de Calatrava,535,56.97
"16100 Hinojosos, Los",960,47.98
31256 Hiriberri/Villanueva de Aezkoa,115,54.54
19138 Hita,400,48.04
"16101 Hito, El",180,56.01
10099 Holguera,750,45.52
20036 Hondarribia,16295,42.54
03078 Hondón de los Frailes,1110,52.98
16102 Honrubia,1740,43.46
40100 Hontalbilla,350,52.71
45075 Hontanar,200,54.93
40101 Hontanares de Eresma,1120,30.02
16103 Hontanaya,355,55.93
09160 Hontangas,115,54.09
19142 Hontoba,315,44.38
34086 Hontoria de Cerrato,110,44.31
09162 Hontoria de la Cantera,135,46.16
09164 Hontoria de Valdearados,225,57.53
09163 Hontoria del Pinar,765,53.82
"05097 Horcajada, La",570,56.9
28070 Horcajo de la Sierra-Aoslos,165,44.55
05099 Horcajo de las Torres,610,50.25
13049 Horcajo de los Montes,1015,45.39
37161 Horcajo de Montemayor,165,58.18
16106 Horcajo de Santiago,3980,42.14
37162 Horcajo Medianero,250,52.84
28071 Horcajuelo de la Sierra,95,46.53
19143 Horche,2440,37.94
"09166 Hormazas, Las",105,60.84
45076 Hormigos,790,41.17
26075 Hormilla,445,49.31
26076 Hormilleja,165,52.3
06069 Hornachos,3790,42.99
14036 Hornachuelos,4670,40.62
"05100 Hornillo, El",345,54.88
34087 Hornillos de Cerrato,120,58.71
47074 Hornillos de Eresma,180,51.68
23043 Hornos,680,46.26
26078 Hornos de Moncalvillo,85,53.19
"09168 Horra, La",385,51.54
43071 Horta de Sant Joan,1280,47.76
09169 Hortigüela,105,52.23
24082 Hospital de Órbigo,995,48.76
"08101 Hospitalet de Llobregat, L'",255830,42.33
"08162 Hostalets de Pierola, Els",2880,36.31
17083 Hostalric,3995,40.05
02040 Hoya-Gonzalo,745,45.71
09170 Hoyales de Roa,240,53.44
28072 Hoyo de Manzanares,7690,39.05
"05102 Hoyo de Pinares, El",2375,43.33
05101 Hoyocasero,315,57.44
05103 Hoyorredondo,85,62.15
10100 Hoyos,925,45.09
05105 Hoyos del Espino,450,47.26
22122 Hoz de Jaca,70,48.96
"44124 Hoz de la Vieja, La",80,52.12
22908 Hoz y Costean,205,54.13
31122 Huarte/Uharte,6505,35.86
45077 Huecas,680,41.92
04051 Huécija,525,45.47
10101 Huélaga,205,43.52
18096 Huélago,355,47.33
16107 Huélamo,150,61
23044 Huelma,6110,41.86
21041 Huelva,147255,39.91
18097 Huéneja,1235,46.78
04052 Huércal de Almería,16225,32.25
04053 Huércal-Overa,18095,40.36
26079 Huércanos,890,46.82
09172 Huérmeces,130,57.22
37164 Huerta,335,42.34
09173 Huerta de Arriba,135,55.75
16110 Huerta de la Obispalía,120,51.16
09174 Huerta de Rey,1060,50.85
45078 Huerta de Valdecarábanos,1895,42.8
16111 Huerta del Marquesado,230,45.55
22124 Huerto,265,50.99
"40103 Huertos, Los",170,45.64
23045 Huesa,2650,40.8
22125 Huesca,51170,41.55
18098 Huéscar,7800,42.57
16112 Huete,1970,45.97
18099 Huétor de Santillán,1855,40.65
18100 Huétor Tájar,10080,38.52
18101 Huétor Vega,11845,37.96
19150 Hueva,140,46.6
41051 Huévar del Aljarafe,2700,39.13
09175 Humada,140,60.26
19151 Humanes,1520,42.62
28073 Humanes de Madrid,18850,32.98
29059 Humilladero,3340,39.71
34088 Husillos,260,47.64
10102 Ibahernando,440,55.04
31124 Ibargoiti,240,46.52
20042 Ibarra,4250,42.58
48048 Ibarrangelu,635,48.07
50125 Ibdes,480,51.58
09177 Ibeas de Juarros,1410,41.34
03079 Ibi,23520,40.78
33028 Ibias,1635,53.56
23046 Ibros,3050,42
38022 Icod de los Vinos,23295,41.77
20043 Idiazabal,2230,42.24
31259 Igantzi,635,43.43
26080 Igea,695,49.29
09180 Iglesias,140,59.26
"44126 Iglesuela del Cid, La",485,46.69
"45079 Iglesuela, La",435,54.61
48094 Igorre,4240,42.01
22127 Igriés,630,35.12
08102 Igualada,38780,40.63
29060 Igualeja,885,44.69
24083 Igüeña,1365,50.38
31125 Igúzquiza,330,45.05
20044 Ikaztegieta,470,41.28
22128 Ilche,225,54.52
"36901 Illa de Arousa, A",4975,42.05
19152 Illana,880,46.08
33029 Illano,445,58.9
04054 Illar,410,50.36
33030 Illas,1035,49.62
45081 Illescas,24235,34.69
18102 Illora,10545,41.8
50126 Illueca,3250,42.48
31126 Imotz,430,45.19
07027 Inca,30220,37.66
"27024 Incio, O",1815,55.84
35011 Ingenio,29995,37.4
16113 Iniesta,4540,40.24
04055 Instinción,470,50.81
"19154 Inviernas, Las",80,63.55
